Countries,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AUS,,,,,,,,,,,,,,,,,,,,0.309,,,,,0.317,,,,0.315,,,,0.336,,0.334,,0.335,,0.337,,0.33,,0.325,,0.318,,,
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284,0.28,0.289,0.28,0.281,0.276,0.28,0.274,0.275,0.284,0.275,0.28,0.274,0.272,0.281,,
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287,0.277,0.264,0.274,0.262,0.269,0.264,0.266,0.262,0.261,,,,,0.258,0.262,0.248,0.256,,
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353,0.363,0.33,0.33,0.329,0.34,0.356,0.354,0.369,0.377,0.402,0.395,0.408,0.402,0.396,0.383,,
BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462,0.475,0.474,0.476,0.448,0.469,0.451,
CAN,0.607,0.577,0.587,0.578,0.578,0.575,0.583,0.599,0.593,0.587,0.585,0.58,0.57,0.566,0.576,0.59,0.588,0.576,0.578,0.582,0.598,0.605,0.617,0.615,0.63,0.634,0.635,0.631,0.643,0.632,0.633,0.635,0.636,0.636,0.635,0.629,0.317,0.319,0.312,0.318,0.307,0.31,0.304,0.3,0.28,0.292,,
CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305,0.312,0.306,0.595,0.298,0.578,0.285,0.295,0.297,0.296,0.302,0.299,0.311,0.316,0.32,,,
CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511,,,0.99,,0.974,,0.465,,0.454,,0.46,,,0.496,,0.448,
CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.514,,,,,,,,,,,,
CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.472,0.48,0.483,0.494,0.485,0.479,0.484,0.48,0.479,0.478,0.497,0.487,0.472,0.47
CZE,,,,,,,,,,,,,,,,,0.232,,,,0.257,,,,,,0.26,,0.536,0.522,0.521,0.513,0.519,0.515,0.518,0.513,0.506,0.518,0.257,0.258,0.253,0.249,0.249,0.248,0.255,0.255,,
DEU,,,,,,,,,,0.251,,,,,0.256,,0.263,0.262,0.268,0.266,0.26,0.259,0.259,0.259,0.264,0.27,0.28,0.282,0.285,0.297,0.29,0.295,0.572,0.288,0.286,0.584,0.289,0.292,0.289,0.293,0.294,0.289,0.289,0.296,0.303,,,
DNK,,,,,,,,,,0.221,0.224,0.225,0.224,0.22,0.226,0.222,0.222,0.223,0.216,0.215,0.216,0.224,0.224,0.228,0.227,,,,,0.232,0.239,0.246,0.242,0.238,0.252,0.504,0.249,0.254,0.256,0.263,0.261,0.264,0.263,0.268,,,,
ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313,0.327,0.333,0.339,0.341,0.334,0.345,0.343,0.344,0.341,0.333,0.33,0.32,0.329,0.32,,
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.346,0.335,0.338,0.312,0.313,0.309,0.317,0.323,0.326,0.711,0.346,0.33,0.314,0.309,0.305,0.305,0.305,0.321,,
FIN,,,,,,,,,,,0.209,0.418,0.427,0.434,0.43,0.425,0.423,0.429,0.432,0.442,0.45,0.472,0.487,0.501,0.509,0.523,0.517,0.524,0.533,0.531,0.536,0.539,0.53,0.519,0.529,0.529,0.521,0.262,0.257,0.26,0.259,0.266,0.269,0.273,0.265,0.273,0.274,
FRA,,,,,,,,,,,,,,,,,,,,,0.277,0.278,0.276,0.284,0.287,0.287,0.284,0.282,0.283,0.288,0.293,0.292,0.293,0.293,0.303,0.309,,,,,,,,,0.278,0.298,,
GBR,,,,,,,,,,0.309,,,,,0.355,,,,0.337,,,,,0.34,0.352,0.34,0.694,0.688,0.685,0.694,0.703,0.714,0.711,0.719,0.692,0.354,0.351,0.358,0.356,0.36,0.351,0.357,0.366,0.366,0.355,0.354,,
GRC,,,,,,,,,,,0.352,,,,,,,,0.352,,,,,0.361,,,,,0.669,0.691,0.677,0.329,0.658,0.661,0.673,0.668,0.678,0.685,0.339,0.34,0.333,0.319,0.306,0.312,0.32,0.312,,
HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311,0.307,0.304,0.303,0.296,0.299,0.294,0.298,0.297,0.293,0.284,0.291,0.288,,
HUN,,,,,,,,,,,,,,,,0.273,0.282,0.299,0.299,0.294,0.294,0.281,0.284,0.294,0.293,,,0.303,,0.291,0.264,0.529,0.246,0.513,0.266,0.269,0.569,0.286,0.281,0.284,0.28,0.289,0.28,0.286,0.28,0.278,,
IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482,,,,,,,0.495,,,,,,,,,,,,
IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.646,0.647,0.631,0.607,0.59,0.624,0.596,0.607,0.612,0.619,0.298,0.298,0.309,0.295,0.292,0.293,0.282,0.291,,
ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.522,0.546,0.58,0.568,0.61,0.532,0.493,0.502,0.504,0.48,0.246,0.257,0.264,0.25,,,,,,
ISR,,,,,,,,,,0.326,,,,,0.329,,,,,0.338,,,,,0.347,,,,,0.378,,,0.371,0.373,0.376,0.748,0.371,0.36,0.365,0.36,0.346,0.344,0.348,0.342,0.34,0.348,,
ITA,,,,,,,,,0.291,,,,,,,0.279,,,,0.327,,,,,0.323,,,,0.662,0.324,0.324,0.313,0.634,0.63,0.648,0.653,0.659,0.649,0.326,0.333,0.327,0.334,0.33,0.325,0.331,0.33,,
JPN,,,,,,,,,,0.304,,,,,,,,,,0.323,,,,,0.337,,,0.321,,,0.329,,,0.336,,,0.33,,,0.339,,,0.668,,,0.338,,
KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306,0.312,0.314,0.314,0.31,0.699,0.692,0.372,0.363,0.352,0.355,0.354,0.345,0.339,0.328,0.329,0.324,
LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.715,0.703,0.667,0.682,0.721,0.738,0.664,0.647,0.702,0.705,0.38,0.372,0.378,0.374,0.361,0.357,0.357,0.366,,
LUX,,,,,,,,,,,0.247,,,,,,,,,,0.259,,,,,0.261,,,0.263,0.281,0.274,0.275,0.289,0.277,0.27,0.276,0.298,0.279,,0.306,0.305,0.327,0.318,0.305,0.29,0.284,,
LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.727,0.783,0.71,0.756,0.756,0.716,0.701,0.712,0.701,0.711,0.349,0.346,0.346,0.355,0.351,0.344,0.355,0.343,0.343,
MEX,,,,,,,,,0.452,,,,,0.495,,,0.512,,0.519,,0.504,,0.513,,0.507,,0.487,,0.474,0.486,0.471,,0.475,,0.466,,0.939,,0.459,,0.459,,0.418,,0.42,,0.4,
NLD,,0.263,,,,,,,,0.272,,,,,0.292,,,,,0.297,,,,,0.292,,,,,0.284,0.28,0.295,0.286,0.283,0.283,0.294,0.571,0.287,0.305,0.305,0.292,0.298,0.295,0.312,0.295,0.295,0.288,
NOR,,,,,,,,,,,0.222,,,,,,,,,0.243,,,,,0.261,,,,0.561,,,,0.5,0.49,0.498,0.5,0.253,0.252,0.257,0.272,0.262,0.262,0.262,0.261,0.263,0.285,0.262,
NZL,,,,,,,,,,0.271,,,,,0.318,,,,,0.335,,,,,0.339,,,0.335,,,0.332,0.331,0.658,0.653,0.335,0.652,0.335,0.341,0.341,0.325,0.333,0.335,0.33,0.326,0.32,,,
POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.654,0.632,0.633,0.617,0.609,0.611,0.604,0.598,0.6,0.297,0.291,0.285,0.275,0.281,0.268,0.265,0.261,,
PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.766,0.755,0.738,0.724,0.712,0.677,0.686,0.678,0.678,0.685,0.338,0.336,0.331,0.32,0.317,0.31,0.327,0.313,,
ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.36,0.349,0.333,0.339,0.339,0.344,0.347,0.371,0.346,0.332,0.351,0.35,0.339,0.342,0.317,,
RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.428,,0.396,0.376,,,,,0.331,0.317,,,,,,
SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.533,0.577,0.497,0.49,0.512,0.53,0.527,0.523,0.5,0.538,0.247,0.25,0.241,0.22,0.236,0.222,0.229,0.217,,
SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.487,0.486,0.478,0.479,0.47,0.492,0.491,0.488,0.5,0.509,0.251,0.25,0.244,0.243,0.249,0.246,0.238,0.242,,
SWE,,,,,,,,0.198,,,,,,,,0.209,,,,0.211,,,,,0.243,,,,0.234,,,,0.259,0.269,0.269,0.273,,0.267,0.272,0.276,0.28,0.282,0.273,0.277,0.276,0.286,0.29,
TUR,,,,,,,,,,,,0.434,,,,,,,0.49,,,,,,,,,,0.43,,,0.409,,0.411,0.417,0.815,0.399,0.39,0.398,0.404,,0.409,0.397,0.415,0.403,0.433,,
USA,,,,,,,,,,,,,,,,,,0.369,0.366,0.361,0.363,0.364,0.357,0.354,0.357,0.36,0.376,0.374,0.36,0.38,0.384,0.376,0.378,0.379,0.38,0.389,0.389,0.396,0.394,0.39,0.391,0.39,0.393,0.395,0.377,0.375,0.396,
ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.626,,0.618,,,,,,
